Mujeres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
65,88486,90305,92127,93964,95821,97593,99200,100734,102340,104154,106285,108883,112042,115714,119819,124274,128967,133782,138587,143368,148110,152906,158561,164306,170060,176119,181595,186748,191864,197174,202813,208918,215459,222404,229938,238015,246262,254145,262392,271783,281670,292099,303251,315159,327877,339654
66,84412,86203,87971,89769,91679,93611,95381,97013,98591,100224,102015,104130,106741,109857,113463,117491,121890,126550,131288,136015,140747,145463,150205,155742,161352,166954,172936,178401,183514,188629,194021,199706,205740,212167,219047,226498,234461,242600,250366,258473,267667,277399,287624,298583,310274,322606
67,80221,82062,83792,85536,87405,89397,91318,93104,94774,96379,97989,99768,101903,104481,107537,111061,115039,119402,123978,128630,133303,138006,142662,147297,152695,158147,163671,169626,175044,180151,185342,190780,196398,202311,208670,215465,222798,230648,238654,246272,254180,263222,272757,282786,293527,304833
68,75771,77807,79584,81289,83106,85054,87020,88950,90775,92469,94048,95646,97449,99558,102073,105061,108535,112478,116758,121243,125832,130472,135109,139657,144158,149394,154761,160259,166154,171552,176736,181971,187334,192827,198673,204943,211621,218833,226539,234382,241801,249573,258412,267752,277558,287910
69,70963,73309,75270,77015,78792,80681,82607,84579,86541,88380,90041,91603,93234,95011,97064,99517,102456,105905,109764,113947,118372,122920,127491,132009,136416,140772,145912,151250,156690,162550,168015,173234,178387,183622,189040,194794,200944,207506,214577,222108,229729,237009,244593,253235,262341,271762
70,65801,68482,70730,72643,74456,76306,78169,80094,82096,84062,85861,87500,89093,90698,92422,94419,96834,99753,103120,106890,111007,115383,119861,124305,128674,132926,137197,142309,147586,152989,158899,164386,169515,174529,179683,185008,190645,196679,203092,209984,217289,224753,231843,239241,247645,256366
71,60379,63314,65874,68065,70039,71918,73735,75594,77547,79548,81464,83233,84897,86461,88013,89686,91649,94055,96896,100180,103883,107956,112257,116602,120887,125092,129255,133511,138556,143790,149248,155157,160538,165514,170448,175499,180701,186225,192110,198345,205006,212145,219406,226304,233478,241495
72,54888,57915,60712,63193,65423,67452,69292,71103,72986,74935,76877,78756,80543,82171,83681,85175,86824,88785,91119,93886,97113,100772,104768,108929,113111,117226,121330,125473,129677,134678,139960,145420,151197,156405,161288,166110,171036,176129,181498,187199,193205,199710,206642,213690,220352,227149
73,49526,52469,55346,58042,60543,62811,64788,66618,68444,70319,72209,74106,75994,77734,79301,80751,82222,83872,85772,88039,90756,93944,97532,101390,105384,109385,113392,117470,121552,125729,130774,136051,141371,146951,152048,156811,161502,166315,171249,176431,181909,187760,194059,200763,207560,213840
74,44458,47169,49955,52718,55414,57930,60128,62079,63918,65739,67552,69389,71285,73121,74791,76283,77706,79182,80777,82619,84847,87538,90662,94112,97799,101608,105492,109465,113482,117524,121761,126793,131925,137048,142486,147437,152063,156637,161285,166030,170990,176314,181963,188039,194480,200867
75,39805,42178,44731,47393,50138,52826,55253,57404,59358,61180,62931,64690,66523,68361,70108,71699,73161,74589,76007,77546,79363,81573,84210,87201,90488,93994,97680,101520,105420,109387,113487,117722,122604,127524,132506,137774,142573,147067,151468,155923,160446,165257,170382,175812,181618,187649
76,35613,37603,39824,42260,44888,47607,50188,52548,54680,56601,58348,60040,61793,63564,65307,66965,68509,69968,71333,72702,74220,76030,78202,80717,83552,86659,90039,93677,97440,101286,105299,109390,113485,118150,122918,127723,132815,137466,141772,145979,150205,154579,159197,164107,169270,174673
77,31845,33482,35339,37443,39844,42442,45035,47526,49851,51935,53765,55444,57127,58809,60484,62131,63732,65263,66653,67964,69312,70835,72615,74672,77043,79712,82699,86029,89584,93290,97167,101164,105104,108994,113497,118080,122713,127627,132069,136168,140140,144217,148407,152807,157449,162214
78,28443,29793,31310,33058,35136,37499,39961,42454,44889,47139,49114,50866,52530,54140,55717,57288,58876,60453,61907,63231,64522,65877,67375,69055,70989,73197,75752,78693,81945,85433,89159,93014,96842,100571,104311,108628,113028,117488,122166,126372,130231,134049,137939,141914,146048,150297
79,25348,26467,27707,29134,30860,32900,35129,37489,39907,42248,44369,46248,47969,49553,51056,52530,54033,55584,57076,58452,59753,61043,62383,63788,65348,67136,69248,71767,74636,77821,81324,85012,88689,92295,95871,99438,103563,107783,112006,116425,120372,124062,127697,131367,135070,138822
