Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
41,207680,214137,219806,224923,229962,235275,240975,247229,254086,261451,269377,277823,286407,294516,303022,312800,323132,333985,345572,357896,371025,383500,398259,416543,434672,453259,472525,491795,511297,530616,549211,566929,583775,599876,615585,631290,647202,663614,680613,698151,715377,731651,746760,759851,769977,776540
42,199845,205925,212421,218103,223269,228400,233778,239505,245770,252590,259858,267702,276101,284664,292769,301248,311015,321347,332151,343690,355998,369103,381564,396309,414486,432433,450943,470121,489304,508682,527782,546316,564089,581068,597474,613538,629527,645751,662191,679099,696166,713007,729009,743835,756885,766711
43,192024,198093,204215,210712,216439,221689,226881,232284,238019,244252,250980,258175,265974,274351,282912,290991,299460,309232,319513,330268,341787,354075,367153,379608,394266,412257,430127,448555,467644,486708,505898,524938,543508,561401,578658,595393,611704,627962,644190,660529,676975,693672,710259,725995,740773,753517
44,184339,190283,196382,202503,209031,214831,220140,225351,230770,236474,242617,249274,256432,264216,272588,281116,289191,297667,307387,317618,328355,339852,352109,365178,377549,392047,409961,427749,446089,465063,483961,503101,522158,540822,558965,576525,593473,610020,626256,642363,658257,674349,690811,707151,722826,737291
45,177654,182595,188564,194661,200812,207401,213247,218572,223796,229188,234808,240887,247509,254651,262436,270777,279293,287374,295805,305471,315690,326399,337871,350110,363091,375314,389750,407577,425283,443510,462346,481196,500335,519464,538353,556768,574510,591654,608157,624266,639939,655485,671362,687586,703860,719223
46,170981,175897,180871,186833,192952,199161,205787,211641,216976,222172,227480,233043,239089,245705,252850,260603,268927,277447,285484,293868,303516,313706,324386,335839,347999,360824,372996,387362,405100,422696,440805,459598,478435,497624,516956,536083,554643,572551,589633,605998,621679,637020,652362,668017,684169,700124
47,164240,169213,174157,179128,185109,191278,197519,204141,209998,215302,220421,225670,231207,237253,243872,250991,258731,267054,275521,283508,291880,301499,311657,322321,333691,345699,358464,370582,384878,402504,420001,438075,456833,475704,495067,514606,533848,552549,570369,587299,603248,618600,633754,648887,664465,680302
48,157475,162458,167454,172387,177382,183412,189608,195837,202455,208282,213503,218564,223791,229326,235383,241975,249081,256825,265092,273501,281475,289823,299411,309547,320135,331358,343303,356008,368066,382270,399804,417266,435299,454071,473097,492637,512263,531612,550202,567863,584381,600007,615190,630138,645193,660456
49,150718,155682,160676,165658,170613,175655,181705,187886,194116,200685,206426,211594,216633,221865,227418,233446,240032,247140,254826,263035,271423,279374,287693,297260,307313,317754,328919,340809,353441,365423,379569,397069,414478,432506,451409,470584,490184,509884,529109,547528,564779,580983,596444,611427,626291,641030
50,144073,148912,153880,158854,163849,168849,173912,179948,186119,192305,198788,204461,209610,214656,219905,225431,231456,238045,245100,252727,260909,269268,277184,285486,294966,304884,315264,326374,338198,350750,362691,376824,394257,411647,429786,448808,468018,487669,507228,526270,544284,561220,577266,592534,607422,621970
51,137707,142251,147087,152033,157012,162047,167063,172114,178138,184267,190363,196773,202426,207577,212642,217864,223387,229417,235952,242947,250554,258702,267015,274915,283139,292484,302337,312671,323715,335454,347975,359918,373991,391388,408865,427103,446136,465372,484862,504230,522867,540567,557350,573201,588362,602933
52,131758,135863,140404,145213,150160,155174,160215,165214,170263,176238,182279,188308,194684,200337,205501,210542,215763,221295,227269,233745,240718,248286,256393,264679,272500,280592,289875,299681,309949,320915,332635,345146,357035,371079,388543,406098,424323,443355,462426,481717,500676,518999,536545,553131,568861,583700
53,126335,129892,133993,138504,143310,148282,153297,158315,163307,168319,174206,180178,186175,192540,198202,203338,208373,213604,219081,224997,231453,238395,245919,253989,262191,269886,277924,287158,296895,307095,318045,329758,342201,354062,368179,385689,403216,421421,440273,459124,478015,496664,514827,532173,548621,564023
54,121473,124441,127993,132063,136568,141394,146364,151350,156355,161315,166241,172061,178000,183989,190355,195975,201100,206145,211322,216739,222638,229060,235959,243448,251436,259499,267134,275131,284303,293976,304163,315116,326754,339149,351079,365245,382707,400193,418209,436836,455289,473866,492348,510311,527495,543600
55,117163,119539,122506,126031,130095,134619,139437,144370,149341,154308,159179,164054,169839,175771,181756,188070,193673,198809,203792,208905,214307,220173,226554,233418,240821,248671,256667,264265,272207,281311,290979,301175,312051,323635,336074,348050,362176,379570,396860,414642,432866,451008,469418,487689,505474,522303
56,113350,115182,117554,120503,124027,128107,132618,137397,142311,147241,152126,156933,161791,167563,173487,179424,185708,191309,196376,201298,206392,211764,217590,223936,230716,237985,245762,253717,261251,269135,278247,287923,298034,308846,320470,332934,344867,358932,376114,393162,410545,428457,446429,464626,482706,500114
57,109853,111311,113144,115508,118455,122002,126071,130539,135295,140167,145006,149825,154617,159469,165241,171109,177012,183279,188801,193800,198698,203767,209101,214890,221155,227801,235000,242732,250613,258098,266001,275118,284710,294751,305590,317225,329624,341506,355374,372305,388948,406024,423757,441516,459500,477188
