Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hombres,55,7892,8368,8900,9491,10145,10863,11639,12459,13310,14193,15101,15882,16558,17412,18142,19036,19858,20634,21383,22149,22949,23885,24903,25993,27158,28415,29730,31357,32926,34722,36669,38076,39589,41192,42915,44761,46386,48882,51457,53969,56724,59381,62426,65503,68602,71632,74551
Hombres,56,7568,7990,8458,8980,9562,10210,10922,11689,12498,13341,14207,14968,15613,16283,17135,17859,18741,19563,20331,21067,21826,22697,23623,24627,25703,26844,28074,29664,31286,32860,34652,36019,37414,38917,40513,42244,44083,45771,48269,50816,53328,55979,58917,61930,65021,68095,71089
Hombres,57,7275,7659,8071,8527,9039,9612,10253,10952,11706,12505,13331,14062,14698,15337,16007,16850,17565,18445,19260,20013,20742,21567,22425,23333,24326,25377,26491,27993,29578,31196,32765,34005,35359,36738,38232,39837,41557,43464,45161,47628,50171,52564,55487,58395,61417,64479,67512
Hombres,58,7001,7358,7731,8129,8573,9075,9640,10266,10953,11695,12473,13175,13793,14423,15062,15726,16557,17272,18143,18942,19690,20471,21281,22124,23023,23989,25014,26393,27885,29463,31077,32119,33345,34682,36051,37550,39140,40939,42847,44523,46981,49390,52046,54939,57853,60846,63868
Hombres,59,6734,7074,7418,7777,8162,8594,9086,9637,10246,10920,11642,12310,12909,13521,14150,14784,15437,16266,16974,17827,18618,19407,20176,20973,21804,22676,23620,24902,26273,27755,29321,30433,31465,32673,33997,35370,36850,38525,40320,42202,43873,46185,48851,51481,54375,57258,60211
Hombres,60,6468,6796,7123,7452,7796,8169,8591,9066,9599,10196,10848,11470,12047,12640,13251,13876,14497,15152,15973,16664,17509,18331,19108,19862,20644,21451,22303,23494,24762,26121,27591,28684,29780,30794,31987,33313,34668,36238,37908,39672,41539,43069,45632,48270,50903,53769,56611
Hombres,61,6197,6517,6831,7142,7456,7787,8149,8553,9012,9531,10107,10670,11213,11784,12376,12981,13595,14218,14866,15665,16351,17217,18026,18787,19529,20288,21074,22164,23339,24593,25937,26963,28038,29112,30111,31307,32611,34059,35621,37255,39000,40718,42506,45041,47680,50288,53111
Hombres,62,5923,6230,6536,6835,7130,7432,7752,8096,8483,8930,9426,9924,10421,10959,11527,12114,12707,13319,13934,14565,15354,16057,16908,17701,18449,19168,19907,20919,21991,23151,24392,25320,26326,27378,28432,29435,30606,32004,33436,34960,36569,38169,40138,41910,44447,47058,49628
Hombres,63,5654,5940,6233,6523,6807,7089,7380,7682,8011,8384,8810,9240,9683,10172,10707,11270,11843,12433,13038,13635,14259,15055,15746,16579,17358,18085,18786,19738,20731,21787,22930,23781,24690,25672,26703,27755,28734,29997,31374,32767,34261,35735,37583,39533,41316,43824,46394
Hombres,64,5389,5652,5924,6202,6477,6749,7021,7294,7581,7896,8252,8619,9004,9441,9928,10456,11003,11572,12154,12739,13327,13958,14740,15415,16236,16994,17700,18597,19533,20509,21549,22328,23159,24041,25000,26026,27051,28124,29365,30695,32056,33423,35144,36977,38932,40696,43163
Hombres,65,5129,5370,5619,5877,6140,6404,6665,6921,7180,7455,7753,8060,8390,8769,9202,9682,10193,10736,11295,11855,12428,13022,13640,14408,15073,15869,16604,17495,18376,19291,20250,20950,21712,22517,23379,24329,25324,26435,27480,28676,29969,31219,32832,34537,36372,38304,40035
Hombres,66,4865,5089,5317,5553,5798,6050,6305,6551,6793,7043,7301,7559,7835,8159,8536,8960,9422,9929,10460,10995,11544,12123,12706,13312,14064,14710,15482,16384,17255,18116,19016,19660,20341,21076,21859,22710,23633,24704,25782,26783,27937,29135,30627,32225,33930,35740,37633
Hombres,67,4593,4809,5021,5237,5461,5694,5941,6180,6414,6648,6881,7106,7337,7607,7928,8295,8703,9161,9652,10159,10682,11235,11803,12374,12968,13699,14325,15245,16127,16979,17825,18430,19056,19711,20422,21199,22020,23009,24047,25075,26036,27111,28547,30024,31617,33295,35066
